"DocumentID (has format doc-x-xx). 

Write ""doc-x-xx"" with the x's having the appropriate numbers for the document you are reviewing. Include the ""doc-"" prefix. Use lowercase letters.",Parties Involved. Look at the top of the form for the parties involved in the case.,Kind of personal data involved in the case (select all that apply). This is the data that is the subject of the dispute.,Legal Issue,Document Type,Date of Document or Case,Type of court.,"Something interesting? Potential Problematic Strategic Use of HIPAA. This applies to cases where HIPAA is being used to undermine lawsuits that seeks to assert individual rights (e.g. lawsuits about environmental harms, workplace injuries or drug harms or just feels ""creepy"") [OPTIONAL]",,,,,,
doc-1-1,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2015,Federal court,,,,,,,
doc-1-2,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2009,Federal court,,,,,,,
doc-1-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2006,Federal court,,,,,,,
doc-1-4,Neither Party is a Covered Entity,Not applicable,,Expert Witness Reports,2018,Federal court,I don't think this one's related to HIPPA.,,,,,,
doc-2-1,Neither Party is a Covered Entity,Not applicable,,Vitae,2010,State court,,,,,,,
doc-2-2,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Depositions,2021,State court,,,,,,,
doc-2-3,Neither Party is a Covered Entity,Not applicable,,Trial Transcript,2005,State court,,,,,,,
doc-2-4,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Depositions,2020,State court,,,,,,,
doc-2-5,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2021,State court,,,,,,,
doc-2-6,Neither Party is a Covered Entity,Not applicable,,Vitae,2018,State court,,,,,,,
doc-2-7,Neither Party is a Covered Entity,Not applicable,,Depositions,2022,State court,,,,,,,
doc-2-8,Neither Party is a Covered Entity,Not applicable,,Depositions,2015,State court,,,,,,,
doc-2-9,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,State court,,,,,,,
doc-2-10,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,State court,,,,,,,
doc-2-11,Neither Party is a Covered Entity,Internet or Network Activity,,Depositions,2014,State court,,,,,,,
doc-2-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2010,State court,,,,,,,
doc-2-13,Neither Party is a Covered Entity,Internet or Network Activity,,Expert Witness Reports,2009,State court,,,,,,,
doc-2-14,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2001,Federal court,,,,,,,
doc-2-15,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2014,Federal court,,,,,,,
doc-2-16,Neither Party is a Covered Entity,Not applicable,,Depositions,2011,Federal court,Doesn't seem HIPAA related; it's just mentioned in passing since it's a software company.,,,,,,
