document id,type of court response,type of court reasoning,parties involved response,parties involved reasoning,kind of personal data involved in the case response,kind of personal data involved in the case reasoning,date of document or case response,date of document or case reasoning,document type response,document type reasoning,something interesting response,something interesting reasoning,"does this document contain expert opinions, credentials, or testimony response","does this document contain expert opinions, credentials, or testimony reasoning",evaluator
doc-1-1,federal court,"the document explicitly states this is a case in the 'united states district court, c.d. california' (central district of california), which is a federal court. the case number format '513cv01247' is also consistent with federal court numbering.",individual vs. healthcare provider,"the case involves dennis rutherford (an individual) suing palo verde health care district (pvhd), which is clearly a healthcare provider and a hipaa covered entity as discussed throughout the expert report.","personal health information, demographics","the expert witness discusses protected health information as defined by hipaa, including 'patient names, addresses, birth dates, telephone numbers, social security numbers, medical record numbers, health plan beneficiary numbers' and information associating individuals with 'a medical diagnosis or medical plan of care'.",2015,"the document is dated march 27, 2015, as shown in the header of the expert report.",expert witness reports,"this is explicitly an 'frcp rule 26(a)(2)(b): expert witness report of ross a. leo' as indicated in the title. the document contains ross leo's qualifications, opinions, and analysis regarding hipaa compliance issues.","this case involves hipaa being used against a former ceo who retained patient information allegedly as evidence of wrongdoing at the healthcare facility, raising questions about the tension between whistleblower protections and hipaa compliance requirements.",the former ceo (peter klune) claims he kept phi after termination for 'self-protection' related to alleged 'unlawful activity' he had reported. the healthcare provider (pvhd) is using hipaa compliance requirements to demand return of all phi and issued breach notifications. the expert opines that klune's retention of phi violated hipaa regardless of whistleblower intentions.,yes,"this document is entirely an expert witness report from ross a. leo, who details his credentials in hipaa compliance (including authoring a hipaa reference handbook), his experience as a hipaa consultant and educator, and provides opinions on whether the retention and disclosure of phi by the former ceo violated hipaa regulations.",claude
doc-1-2,federal court,"the document is filed in the 'united states district court, d. arizona' (case number 08cv01386) as indicated in the header of the document.",healthcare provider vs. healthcare provider,"the case is between saguaro medical associates, p.c. (a physician group) and banner health (which operates banner thunderbird medical center). both are healthcare providers and hipaa covered entities.","personal health information, demographics","the case involves patient demographic information, specifically mrns (medical record numbers) and doas (dates of admission) of three patients. the expert report states: 'what appears to have been solely mrns and doas of three patients' was the information at issue. this constitutes both phi under hipaa and demographic information.",2009,"the document is dated april 17, 2009, as shown in the header and also at the end of the document before the expert's signature.",expert witness reports,"this is an expert witness report prepared by alan s. goldberg for the plaintiff. the document is structured as a formal expert report with sections for opinions, data considered, qualifications, and compensation.",the case involves banner health potentially using hipaa strategically against an individual physician for accessing minimal patient information that was already in banner's possession and that the expert argues was permissible under hipaa's ohca provisions.,"banner health appears to be using hipaa allegations against dr. malhotra, who accessed only minimal patient information (mrns and doas) for what the expert argues were legitimate healthcare operations. the expert states that banner already possessed this information and that the access was consistent with an organized healthcare arrangement (ohca). this suggests banner may be using hipaa strategically to take action against the physician rather than for genuine privacy protection.",yes,"this document is explicitly an expert report by alan s. goldberg, who provides his opinions on hipaa compliance in this case, his qualifications (including education, experience, publications, presentations), and the basis for his opinions. the document includes extensive credentials and professional background in sections iv and v.",claude
doc-1-3,federal court,"the document header explicitly states 'united states district court, w.d. louisiana' indicating this is a federal court case in the western district of louisiana.",individual vs. healthcare provider,the case involves maier (a licensed clinical social worker) who was arrested for refusing to reveal patient information to a police officer at lafayette general medical center. the expert report supports maier (plaintiff) against green et al. (presumably law enforcement).,personal health information,the case revolves around protecting a patient's identity at a medical facility. the social worker refused to 'grant access (and thus reveal the identity) of a patient who was on the premises of lafayette general medical center' which constitutes phi under hipaa.,2006,"the document is dated december 16, 2006, as indicated in both the header and the signature date at the end of the expert report.",expert witness reports,"this is clearly identified in the header as 'report or affidavit of john c. simoneaux, ph.d.' who provides expert analysis of hipaa regulations and social worker ethical standards.","this case highlights proper application of hipaa to protect patient privacy, resulting in a social worker's arrest for refusing to disclose patient information to law enforcement without proper authorization.","rather than problematic use of hipaa, this case demonstrates its intended purpose - protecting patient confidentiality. the social worker was arrested for properly following hipaa regulations and professional ethical standards when refusing to reveal a patient's identity to police without proper authorization.",yes,"the entire document is an expert report from john c. simoneaux, ph.d., who analyzes hipaa regulations, social worker licensing laws, and ethical standards to determine whether maier acted appropriately in refusing to disclose patient information.",claude
doc-1-4,federal court,"the document header clearly states 'united states district court, e.d. pennsylvania' which indicates this is a case in the eastern district of pennsylvania federal court.",neither party is a covered entity,"the case involves pgh global (cayman) limited as plaintiff and liquid interactive, llc as defendant. liquid is a software development company. pgh appears to be a company that operated insurance enrollment websites for students. while they handled health insurance information and hipaa-regulated data, neither appears to be a covered entity under hipaa. they were in a contractual dispute over software development services.","personal health information, demographics, financial data","the document discusses hipaa-regulated protected health information (phi) in paras 110-111, 128, and 173. the software systems in question handled student information (demographics) and payment/credit card processing capabilities (financial data). the v2.0 system specifically separated data into different databases including 'fraphi' for hipaa-covered information.",2018,"the document is dated february 2, 2018 as shown at the top of the document. the case number (5:17-cv-00454) suggests the case was filed in 2017, but this expert report was submitted in 2018.",expert witness reports,"this document is clearly identified as 'expert report of philip greenspun, ph.d.' who was retained by counsel for liquid interactive to provide expert opinions regarding software development standards and the work performed by liquid for pgh.","the expert notes that the original v1.0 system improperly mixed hipaa-protected health information with regular website data, violating the 'minimum necessary requirement' of hipaa (45 cfr 164.502(b), 164.514(d)). the v2.0 system properly separated hipaa data into its own database following proper compliance standards.","according to the expert, the original system allowed unnecessary access to phi by programmers and administrators who didn't need it, which violated hipaa's minimum necessary standards. it's interesting that a software architecture decision could result in regulatory compliance issues.",yes,"this is an expert report by philip greenspun, ph.d. who provides extensive credentials (pages 1-6, paragraphs 3-26), including his education, experience, publications, and previous expert witness experience. the report contains his expert opinions on software development standards, analysis of the work performed by liquid, and conclusions about whether contractual obligations were met.",claude
doc-2-1,federal court,"the document is filed in 'd.mass.' (district of massachusetts) as indicated in the header: 'filed in tele-publishing, inc. v. facebook, inc., et al., (d.mass., march 29, 2010)' which is a federal district court.",neither party is a covered entity,"the case involves tele-publishing, inc. and facebook, inc., neither of which appears to be a healthcare provider, health plan, or other hipaa-covered entity. this appears to be a litigation between technology companies.",not applicable,"this document is primarily dr. latanya sweeney's curriculum vitae/expert resume. while she specializes in privacy technology and data de-identification (including work related to hipaa), the document itself doesn't specify what personal data is at issue in the underlying case.",2010,"the document is explicitly dated 2010 in multiple places, including the header 'latanya arvette sweeney, ph.d., 2010 wl 5698549 (2010)' and the filing date 'march 29, 2010'.","vitae, expert witness reports","the document is described as a 'court filed expert resume' in the header and contains dr. sweeney's comprehensive curriculum vitae including her education, academic positions, publications, and expertise in data privacy and de-identification.",,"the document doesn't indicate any problematic strategic use of hipaa. it's merely dr. sweeney's expert resume, which happens to include significant work on data privacy, including hipaa-related research and technologies.",yes,"this entire document is the curriculum vitae/resume of latanya sweeney, ph.d., an expert in data privacy and de-identification technologies. it extensively details her academic credentials, positions, research, publications, and expertise, indicating she's serving as an expert witness in this case.",claude
doc-2-2,federal court,"the document clearly states this is a united states district court case in the d. south carolina, beaufort division, with case number 9:14-cv-3699-rmg, which indicates federal jurisdiction.",government vs. healthcare entity,"this is a qui tam case (indicated by 'ex rel.') where relators scarlett lutz and kayla webster are bringing a case on behalf of the united states of america against laboratory corporation of america holdings (labcorp), which is a clinical laboratory and therefore a covered entity under hipaa.",medical information not covered by hipaa,"the case appears to involve allegations about labcorp's business relationships with physicians and other laboratory companies (hdl and singulex) regarding blood draws and process and handling fees. while medical testing is mentioned, the focus is on financial arrangements between laboratories and physicians rather than patient-identifiable information.",2021,"the document is explicitly dated february 25, 2021, which appears multiple times throughout the deposition transcript.","depositions, expert witness reports","this is clearly a deposition transcript of raja sekaran, who is identified as an expert witness for the plaintiffs/relators. the document includes examination of the expert regarding his report and opinions.",,the document doesn't show hipaa being used strategically to undermine individual rights. hipaa is only mentioned in context of the expert's background working at hhs oig after hipaa was passed. the case appears to focus on alleged kickback arrangements and false claims act violations.,yes,"the entire document is a deposition of raja sekaran who is explicitly identified as an expert witness for the plaintiffs. his credentials (education at uc berkeley, cornell, and georgetown; work experience at hhs oig and various healthcare entities) are discussed extensively, and he provides expert opinions about processes available to healthcare providers to report fraud concerns to the government.",claude
doc-2-3,federal court,"the document explicitly states this case is in the 'united states district court, e.d. missouri' (eastern district of missouri), which is a federal court.",other,"the case involves washington university (plaintiff) versus dr. william j. catalona and others (defendants). this appears to be a dispute between a university and a researcher over biological samples/tissues collected for research purposes, not a typical hipaa covered entity relationship.",personal health information,"the case centers on biological materials (tissue samples, blood) collected from research participants for medical studies. the testimony repeatedly discusses control over human tissue samples used in genetic and prostate cancer research.",2005,"the document is clearly dated april 11, 2005 as shown in the header and throughout the document.","expert witness reports, depositions","this is a trial transcript specifically labeled as 'testimony of defendants' expert witness, dr. kenneth w. goodman' who is being questioned under oath about bioethics issues related to research participants' rights.","the case involves a fundamental question about who controls biological specimens after they're collected for research - the institution or the research participants. dr. goodman testifies about anonymization of samples and discusses how hipaa relates to research data, but doesn't appear to use hipaa to undermine individual rights.",the expert discusses tensions between institutional claims and individual rights to withdraw from research. hipaa is mentioned as relevant to privacy and deidentification but isn't being weaponized against individuals.,yes,"this entire document is the sworn testimony of dr. kenneth w. goodman, an expert in bioethics who serves as director of the bioethics program at the university of miami with appointments in multiple departments including medicine and philosophy.",claude
doc-2-4,federal court,"the document indicates this is a case in the 'united states district court, m.d. north carolina, greensboro division' (case number 1:17-cv-00111), which is a federal district court.",neither party is a covered entity,"the case involves lloyd bell (as executor of betty bell's estate) against american international industries, colgate-palmolive, and other companies related to talcum powder products. none of these entities appear to be healthcare providers, health plans, or other hipaa-covered entities.","personal health information, medical information not covered by hipaa","the deposition discusses betty bell's mesothelioma diagnosis, medical history, and cancer in her family. it also extensively discusses anonymized medical research data from dr. emory's published case series of 75 patients with mesothelioma who used cosmetic talc products.",2020,"the document is dated october 1, 2020, clearly stated at the top of the deposition transcript.","depositions, expert witness reports","this is primarily a deposition transcript of dr. theresa swain emory's testimony. throughout the deposition, there are references to and discussions of expert reports authored by dr. emory and others that were submitted in this case.","dr. emory repeatedly refuses to disclose information about subjects in her published research study, citing hipaa and ethical concerns about de-anonymizing research subjects. however, the deposition reveals she had previously shared some of this same information with another physician (dr. egilman), suggesting a potentially inconsistent application of confidentiality principles depending on who is requesting the information.","throughout the deposition, dr. emory refuses to reveal information about subjects in her case series study, claiming it would be unethical and violate medical research principles. however, when shown an email (exhibit 17) where she shared information about one of these cases with dr. egilman, she distinguishes between sharing with 'medical researchers' versus 'attorneys in litigation,' suggesting a selective application of these principles.",yes,"this document is entirely a deposition of dr. theresa swain emory, who is serving as an expert witness in this case. it contains extensive testimony about her credentials as a pathologist, her methodology, and her opinions regarding the cause of betty bell's mesothelioma, including her assessment that exposure to asbestos in talcum powder products was a substantial contributing factor.",claude
doc-2-5,federal court,"the document is from the united states district court, d. south carolina (d.s.c.), which is a federal district court.",government vs. healthcare entity (covered entity),"the case involves the united states of america and states of california and illinois (through relators scarlett lutz and kayla webster) against laboratory corporation of america holdings (labcorp), which is a clinical laboratory and healthcare entity covered under hipaa.",not applicable (for example because you are dealing with a resume),"the document focuses on fraud and abuse issues related to laboratory payments to referring physicians, not on mishandling of personal health information. it discusses labcorp's anonymous requests to hhs-oig regarding potentially fraudulent payment practices in the industry, but doesn't involve actual patient data breaches or misuse.",2021,"the expert report is dated april 9, 2021, as shown in the header of the document, though the expert's signature is dated november 16, 2020.",expert witness reports,"this is clearly an expert report by raja sekaran, j.d., ll.m., who was retained by counsel for the plaintiffs/relators to provide expert opinion regarding processes for disclosing fraud and abuse concerns to the government.",,"the document doesn't show problematic strategic use of hipaa. it primarily discusses hhs-oig's fraud alert process and labcorp's anonymous requests for fraud alerts. hipaa is mentioned mainly in reference to establishing the federal fraud & abuse control program, not as a tool to undermine individual rights.",yes (this document contains expert content - proceed to next section),"this is an expert report from raja sekaran who provides his credentials (j.d., ll.m., over 25 years in healthcare law including work at hhs-oig) and offers opinions on hhs-oig practices related to accepting fraud and abuse complaints, particularly addressing labcorp's claims about time limitations for requesting special fraud alerts.",claude
doc-2-6,state court,"the document header indicates 'n.y.sup.' which refers to new york supreme court, a state court. the citation format '2018 wl 11424782 (n.y.sup.)' confirms this.",other,"the document only shows an expert resume filed in a case titled 'currid, mary vs. valea, patricia m.' but does not provide any information about whether the parties are covered entities or what the case is about. there's insufficient information to determine the relationship of the parties to hipaa.",not applicable,this document is merely an expert's resume/cv filed with the court. it contains professional credentials and work history but does not describe any personal data involved in the underlying case.,2018,"the document header clearly states '(n.y.sup., october 30, 2018)' and '2018 wl 11424782 (2018)' indicating it was filed in 2018.",vitae,"this is clearly an expert's curriculum vitae or resume submitted to the court. the header specifically indicates '(court filed expert resume)' and the content lists zhanna kelley's professional experience, education, and certifications.",,there is no indication of problematic or strategic use of hipaa in this document. it merely shows that the expert has experience with hipaa compliance as part of her professional background.,yes,"this document is explicitly an expert's curriculum vitae/resume detailing zhanna kelley's credentials, including her expertise in accounting, compliance, and experience with hipaa compliance. while it doesn't contain actual opinions or testimony, it establishes her qualifications as an expert witness in the case.",claude
