DocumentID,PartiesInvolved,KindOfPersonalData,DocumentType,DateOfDocumentOrCase
doc-6-28,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Vitae,2012
doc-11-54,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2013
doc-7-6,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2015
doc-2-38,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-2-52,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2017
doc-6-66,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2021
doc-2-98,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Financial Data",Expert Witness Reports,2023
doc-2-87,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-5-56,Neither Party is a Covered Entity,Legal or Criminal Information,Depositions,2023
doc-5-63,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-3-41,Neither Party is a Covered Entity,Financial Data,Expert Witness Reports,2023
doc-5-60,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2020
doc-6-13,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2012
doc-2-75,Neither Party is a Covered Entity,Financial Data,"Depositions, Expert Witness Reports",Not known
doc-4-7,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2013
doc-3-35,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2020
doc-2-65,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-3-42,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2008
doc-2-7,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)","Depositions, Expert Witness Reports",2022
doc-6-42,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-5-90,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-10-25,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Court Rulings/Decisions,2022
doc-5-47,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Expert Witness Reports,2023
doc-2-36,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-2-30,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2016
doc-6-47,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2010
doc-2-46,Individual vs. Health Insurance Plan (Covered Entity),"Financial Data, Other",Depositions,2019
doc-2-90,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-6-65,Other,Educational or Professional Licensing Data,Vitae,2023
doc-2-34,Other,Not applicable,Vitae,2017
doc-7-9,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2022
doc-6-44,Individual vs. Healthcare Provider (Covered Entity),"Internet or Network Activity, Other",Expert Witness Reports,2020
doc-2-28,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2019
doc-2-58,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2021
doc-6-40,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2020
doc-1-4,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2018
